"AI Engineer Skill Assessment  - Mar 4, 2025 - 1:05:49 PM",,,,,
,,,,,
,,,,,
Azure AI Fundamentals,"Fundamentals of Azure AI Speech ",Language,,,
Azure AI Fundamentals,"Fundamentals of Azure AI Speech ",Azure AI services,,,
Azure AI Fundamentals,"Fundamentals of Azure AI Document Intelligence ",Azure AI Vision resource,Azure AI Vision resource,,
Azure AI Fundamentals,"Fundamentals of Azure AI Document Intelligence ",Azure AI Document Intelligence or Azure AI services resource.,,,
Azure AI Fundamentals,"Fundamentals of Azure AI Document Intelligence ",Azure AI Language resource.,,,
Azure AI Fundamentals,"Fundamentals of Knowledge Mining with Azure Cognitive Search ",CSV,,,
Azure AI Fundamentals,"Fundamentals of Knowledge Mining with Azure Cognitive Search ",SQL,,,
Azure AI Fundamentals,"Fundamentals of Knowledge Mining with Azure Cognitive Search ",JSON,,,
Azure AI Fundamentals,"Fundamentals of Generative AI ",Models that only work with one language.,,,
Azure AI Fundamentals,"Fundamentals of Generative AI ",Models that only work with small amounts of data.,,,
Azure AI Fundamentals,"Fundamentals of Generative AI ",Models that use deep learning to process and understand natural language on a massive scale.,,,
Azure AI Fundamentals,"Fundamentals of Azure OpenAI Service ","Azure OpenAI is Microsoft's version of ChatGPT, a chatbot that uses generative AI models.","Azure OpenAI is Microsoft's version of ChatGPT, a chatbot that uses generative AI models.",,
Azure AI Fundamentals,"Fundamentals of Azure OpenAI Service ","ChatGPT and OpenAI are chatbots that generate natural language, code, and images. Azure OpenAI provides access to these two chatbots.",,,
Azure AI Fundamentals,"Fundamentals of Azure OpenAI Service ","OpenAI is a research company that developed ChatGPT, a chatbot that uses generative AI models. Azure OpenAI provides access to many of OpenAI's AI models.",,,
Azure AI Fundamentals,"Fundamentals of Responsible Generative AI ",To make a legal case that indemnifies you from responsibility for harms caused by the solution,,,
Azure AI Fundamentals,"Fundamentals of Responsible Generative AI ","To document the purpose, expected use, and potential harms for the solution",,,
Azure AI Fundamentals,"Fundamentals of Responsible Generative AI ",To evaluate the cost of cloud services required to implement your solution,,,
Designing and Implementing a Microsoft Azure AI Solution,Prepare to develop AI solutions on Azure,Absolutely correct values based on conditional logic.,Absolutely correct values based on conditional logic.,,
Designing and Implementing a Microsoft Azure AI Solution,Prepare to develop AI solutions on Azure,Randomly selected values with an equal chance of selection.,,,
Designing and Implementing a Microsoft Azure AI Solution,Prepare to develop AI solutions on Azure,Probabilistic values based on correlations found in training data.,,,
Designing and Implementing a Microsoft Azure AI Solution,Create and consume Azure AI services,The application must specify a valid subscription key for the Azure resource.,,,
Designing and Implementing a Microsoft Azure AI Solution,Create and consume Azure AI services,The user of the application must enter a user name and password associated with the Azure subscription.,,,
Designing and Implementing a Microsoft Azure AI Solution,Create and consume Azure AI services,Access to Azure AI Services is granted to anonymous users by default.,,,
Designing and Implementing a Microsoft Azure AI Solution,Secure Azure AI services,Switch the app to use the secondary key,Switch the app to use the secondary key,,
Designing and Implementing a Microsoft Azure AI Solution,Secure Azure AI services,Change the resource endpoint,,,
Designing and Implementing a Microsoft Azure AI Solution,Secure Azure AI services,Enable a firewall,,,
Designing and Implementing a Microsoft Azure AI Solution,Monitor Azure AI services,Create an alert.,,,
Designing and Implementing a Microsoft Azure AI Solution,Monitor Azure AI services,Configure diagnostic settings.,,,
Designing and Implementing a Microsoft Azure AI Solution,Monitor Azure AI services,Create a dashboard.,,,
Designing and Implementing a Microsoft Azure AI Solution,Deploy Azure AI services in containers,Client applications must pass a subscription key to the Azure resource endpoint before using the container.,Client applications must pass a subscription key to the Azure resource endpoint before using the container.,,
Designing and Implementing a Microsoft Azure AI Solution,Deploy Azure AI services in containers,The container must be able to connect to the Azure resource endpoint to send usage data for billing.,,,
Designing and Implementing a Microsoft Azure AI Solution,Deploy Azure AI services in containers,All data passed from the client application to the container is forwarded to the Azure resource endpoint.,,,
Designing and Implementing a Microsoft Azure AI Solution,Make recommendations with Azure AI Personalizer,"In the Azure portal, go to the Monitor page for your AI Personalizer resource, and view the Personalizer average reward.","In the Azure portal, go to the Monitor page for your AI Personalizer resource, and view the Personalizer average reward.",,
Designing and Implementing a Microsoft Azure AI Solution,Make recommendations with Azure AI Personalizer,"In the Azure portal, go to the Monitor page for your AI Personalizer resource, and view the Baseline average reward.",,,
Designing and Implementing a Microsoft Azure AI Solution,Make recommendations with Azure AI Personalizer,"In the Azure portal, go to the Monitor page for your AI Personalizer resource, and view the Reward achievement ratio.",,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze images,Tags,Tags,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze images,Description,,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze images,Categories,,,
Designing and Implementing a Microsoft Azure AI Solution,Classify images,"""Image classification (multiclass)","""Image classification (multiclass)",,
Designing and Implementing a Microsoft Azure AI Solution,Classify images,Image classification (multilabel),,,
Designing and Implementing a Microsoft Azure AI Solution,Classify images,Object detection,,,
Designing and Implementing a Microsoft Azure AI Solution,Detect objects in images,The location and class of specific classes of object in an image.,,,
Designing and Implementing a Microsoft Azure AI Solution,Detect objects in images,The class of the main subject of an image.,,,
Designing and Implementing a Microsoft Azure AI Solution,Detect objects in images,The file type of an image.,,,
Designing and Implementing a Microsoft Azure AI Solution,"Detect, analyze, and recognize faces",Location,Location,,
Designing and Implementing a Microsoft Azure AI Solution,"Detect, analyze, and recognize faces",Type of eye-glasses,,,
Designing and Implementing a Microsoft Azure AI Solution,"Detect, analyze, and recognize faces",Occlusion,,,
Designing and Implementing a Microsoft Azure AI Solution,Read Text in Images and Documents with the Azure AI Vision Service,Only total content and pages of text.,,,
Designing and Implementing a Microsoft Azure AI Solution,Read Text in Images and Documents with the Azure AI Vision Service,"Pages, words and lines of text.",,,
Designing and Implementing a Microsoft Azure AI Solution,Read Text in Images and Documents with the Azure AI Vision Service,"Total content, pages, words and lines of text.",,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze video,Use the Azure AI Vision service to extract key frames from the video.,Use the Azure AI Vision service to extract key frames from the video.,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze video,Upload the video to Azure Video Indexer and index it.,,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze video,Store the video file in an Azure blob store container.,,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze text with Azure AI Language,Use the Azure AI Language service to extract key phrases.,,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze text with Azure AI Language,Use the Azure AI Language service to perform sentiment analysis of the comments.,,,
Designing and Implementing a Microsoft Azure AI Solution,Analyze text with Azure AI Language,Use the Azure AI Language service to extract named entities from the comments.,,,
Designing and Implementing a Microsoft Azure AI Solution,Build a question answering solution,Create an empty knowledge base and manually enter the FAQ questions and answers.,Create an empty knowledge base and manually enter the FAQ questions and answers.,,
Designing and Implementing a Microsoft Azure AI Solution,Build a question answering solution,"Create a new knowledge base, importing the existing FAQ document.",,,
Designing and Implementing a Microsoft Azure AI Solution,Build a question answering solution,"""Create a new knowledge base, selecting only the Professional chit-chat source.",,,
Designing and Implementing a Microsoft Azure AI Solution,Build a conversational language understanding model,Intents,Intents,,
Designing and Implementing a Microsoft Azure AI Solution,Build a conversational language understanding model,Utterances,,,
Designing and Implementing a Microsoft Azure AI Solution,Build a conversational language understanding model,Entities,,,
Designing and Implementing a Microsoft Azure AI Solution,Develop an app with Azure AI Language,Sentiment analysis,Sentiment analysis,,
Designing and Implementing a Microsoft Azure AI Solution,Develop an app with Azure AI Language,Key phrase extraction,,,
Designing and Implementing a Microsoft Azure AI Solution,Develop an app with Azure AI Language,Entity recognition,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom text classification solution,A single label classification project,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom text classification solution,A multiple label classification project,A multiple label classification project,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom text classification solution,A varied label classification project,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom named entity extraction solution,Recall,Recall,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom named entity extraction solution,Precision,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom named entity extraction solution,F1 score,,,
Designing and Implementing a Microsoft Azure AI Solution,Translate text with the Azure AI Translator service,Detect,Detect,,
Designing and Implementing a Microsoft Azure AI Solution,Translate text with the Azure AI Translator service,Translate,,,
Designing and Implementing a Microsoft Azure AI Solution,Translate text with the Azure AI Translator service,Transliterate,,,
Designing and Implementing a Microsoft Azure AI Solution,Create speech-enabled apps with Azure AI services,The location and one of the keys,The location and one of the keys,,
Designing and Implementing a Microsoft Azure AI Solution,Create speech-enabled apps with Azure AI services,The primary and secondary keys,,,
Designing and Implementing a Microsoft Azure AI Solution,Create speech-enabled apps with Azure AI services,The endpoint and one of the keys,,,
Designing and Implementing a Microsoft Azure AI Solution,Translate speech with the Azure AI Speech service,SpeechConfig,SpeechConfig,,
Designing and Implementing a Microsoft Azure AI Solution,Translate speech with the Azure AI Speech service,SpeechTranslationConfig,,,
Designing and Implementing a Microsoft Azure AI Solution,Translate speech with the Azure AI Speech service,AudioConfig,,,
Designing and Implementing a Microsoft Azure AI Solution,Create an Azure Cognitive Search solution,Add a JSON file that defines an Azure AI Search index to the blob container.,Add a JSON file that defines an Azure AI Search index to the blob container.,,
Designing and Implementing a Microsoft Azure AI Solution,Create an Azure Cognitive Search solution,Enable anonymous access for the blob container.,,,
Designing and Implementing a Microsoft Azure AI Solution,Create an Azure Cognitive Search solution,"In an Azure AI Services resource, and add a data source that references the container where the files are stored.",,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom skill for Azure Cognitive Search,Create a custom skill that uses an Azure Machine Learning model to predict the sentiment for a document.,Create a custom skill that uses an Azure Machine Learning model to predict the sentiment for a document.,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom skill for Azure Cognitive Search,Create a custom skill that calls the Azure AI Language service to predict the sentiment of each document.,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a custom skill for Azure Cognitive Search,Add the built-in Sentiment skill to the skillset used by the indexer.,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a knowledge store with Azure Cognitive Search,Merge,Merge,,
Designing and Implementing a Microsoft Azure AI Solution,Create a knowledge store with Azure Cognitive Search,Shaper,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a knowledge store with Azure Cognitive Search,Split,,,
Designing and Implementing a Microsoft Azure AI Solution,Enrich a search index using Language Studio,Conversational language understanding.,Conversational language understanding.,,
Designing and Implementing a Microsoft Azure AI Solution,Enrich a search index using Language Studio,Analyze sentiment.,,,
Designing and Implementing a Microsoft Azure AI Solution,Enrich a search index using Language Studio,Custom text classification.,,,
Designing and Implementing a Microsoft Azure AI Solution,Implement advanced search features in Azure Cognitive Search,+,,,
Designing and Implementing a Microsoft Azure AI Solution,Implement advanced search features in Azure Cognitive Search,^,^,,
Designing and Implementing a Microsoft Azure AI Solution,Implement advanced search features in Azure Cognitive Search,!,,,
Designing and Implementing a Microsoft Azure AI Solution,Build an Azure Machine Learning custom skill for Azure Cognitive Search,Real-time endpoint,Real-time endpoint,,
Designing and Implementing a Microsoft Azure AI Solution,Build an Azure Machine Learning custom skill for Azure Cognitive Search,Web service,,,
Designing and Implementing a Microsoft Azure AI Solution,Build an Azure Machine Learning custom skill for Azure Cognitive Search,Batch endpoint,,,
Designing and Implementing a Microsoft Azure AI Solution,Search data outside the Azure platform in Azure Cognitive Search using Azure Data Factory,You can only upload one document at a time.,,,
Designing and Implementing a Microsoft Azure AI Solution,Search data outside the Azure platform in Azure Cognitive Search using Azure Data Factory,The JSON can't contain complex data types like arrays.,,,
Designing and Implementing a Microsoft Azure AI Solution,Search data outside the Azure platform in Azure Cognitive Search using Azure Data Factory,You have to define the index in the Azure portal first.,,,
Designing and Implementing a Microsoft Azure AI Solution,Maintain an Azure Cognitive Search Solution,Create an Azure Cognitive Search service with a Storage Optimized service tier and at least two replicas.,Create an Azure Cognitive Search service with a Storage Optimized service tier and at least two replicas.,,
Designing and Implementing a Microsoft Azure AI Solution,Maintain an Azure Cognitive Search Solution,Create an Azure Cognitive Search service with any Standard service tier and at least three replicas.,,,
Designing and Implementing a Microsoft Azure AI Solution,Maintain an Azure Cognitive Search Solution,Create an Azure Cognitive Search service with a High-density service tier and one replica.,,,
Designing and Implementing a Microsoft Azure AI Solution,Use semantic search to get better search results in Azure Cognitive Search,Up to 50.,,,
Designing and Implementing a Microsoft Azure AI Solution,Use semantic search to get better search results in Azure Cognitive Search,As many results as the BM25 ranking function returns.,As many results as the BM25 ranking function returns.,,
Designing and Implementing a Microsoft Azure AI Solution,Use semantic search to get better search results in Azure Cognitive Search,Up to 25.,,,
Designing and Implementing a Microsoft Azure AI Solution,Improve search results using vector search in Azure Cognitive Search,To create a search to match text input.,To create a search to match text input.,,
Designing and Implementing a Microsoft Azure AI Solution,Improve search results using vector search in Azure Cognitive Search,When you need to find matches across different types of data. from a search index.,,,
Designing and Implementing a Microsoft Azure AI Solution,Improve search results using vector search in Azure Cognitive Search,To upload and index a document library.,,,
Designing and Implementing a Microsoft Azure AI Solution,Plan an Azure AI Document Intelligence solution,A Read model.,,,
Designing and Implementing a Microsoft Azure AI Solution,Plan an Azure AI Document Intelligence solution,A Layout model.,,,
Designing and Implementing a Microsoft Azure AI Solution,Plan an Azure AI Document Intelligence solution,A Composed model.,A Composed model.,,
Designing and Implementing a Microsoft Azure AI Solution,Use prebuilt Azure AI Document Intelligence models,Read model.,Read model.,,
Designing and Implementing a Microsoft Azure AI Solution,Use prebuilt Azure AI Document Intelligence models,General document model.,,,
Designing and Implementing a Microsoft Azure AI Solution,Use prebuilt Azure AI Document Intelligence models,ID document model.,,,
Designing and Implementing a Microsoft Azure AI Solution,Extract data from forms with Azure Document Intelligence,Train Model and Get Model Labels,,,
Designing and Implementing a Microsoft Azure AI Solution,Extract data from forms with Azure Document Intelligence,Analyze Invoice and Get Analyze Invoice Result,,,
Designing and Implementing a Microsoft Azure AI Solution,Extract data from forms with Azure Document Intelligence,Create Azure Document Intelligence and Get Analyze Invoice Result,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a composed Form Recognizer model,modelId,modelId,,
Designing and Implementing a Microsoft Azure AI Solution,Create a composed Form Recognizer model,status,,,
Designing and Implementing a Microsoft Azure AI Solution,Create a composed Form Recognizer model,docType,,,
Designing and Implementing a Microsoft Azure AI Solution,Build an Azure AI Document Intelligence custom skill for Azure Cognitive Search,formUrl,,,
Designing and Implementing a Microsoft Azure AI Solution,Build an Azure AI Document Intelligence custom skill for Azure Cognitive Search,recordId,,,
Designing and Implementing a Microsoft Azure AI Solution,Build an Azure AI Document Intelligence custom skill for Azure Cognitive Search,formSasToken,,,
Designing and Implementing a Microsoft Azure AI Solution,Get started with Azure OpenAI Service,text-davinci-003,,,
Designing and Implementing a Microsoft Azure AI Solution,Get started with Azure OpenAI Service,gpt-35-turbo,,,
Designing and Implementing a Microsoft Azure AI Solution,Get started with Azure OpenAI Service,text-embedding-ada-002 (Version 2),,,
Designing and Implementing a Microsoft Azure AI Solution,Build natural language solutions with Azure OpenAI Service,"Chat, Embedding, and Completion",,,
Designing and Implementing a Microsoft Azure AI Solution,Build natural language solutions with Azure OpenAI Service,"Key, Endpoint, and Deployment name",,,
Designing and Implementing a Microsoft Azure AI Solution,Build natural language solutions with Azure OpenAI Service,"Summary, Deployment name, and Endpoint",,,
Designing and Implementing a Microsoft Azure AI Solution,Apply prompt engineering with Azure OpenAI Service,By using complex instructions that are difficult to understand,,,
Designing and Implementing a Microsoft Azure AI Solution,Apply prompt engineering with Azure OpenAI Service,By providing clear and descriptive instructions,,,
Designing and Implementing a Microsoft Azure AI Solution,Apply prompt engineering with Azure OpenAI Service,By using vague prompts,,,
Designing and Implementing a Microsoft Azure AI Solution,Generate code with Azure OpenAI Service,Increase in efficiency and productivity,Increase in efficiency and productivity,,
Designing and Implementing a Microsoft Azure AI Solution,Generate code with Azure OpenAI Service,Increase in bugs and readability,,,
Designing and Implementing a Microsoft Azure AI Solution,Generate code with Azure OpenAI Service,Increase in time spent coding,,,
Designing and Implementing a Microsoft Azure AI Solution,Generate images with Azure OpenAI Service,DALL-E,,,
Designing and Implementing a Microsoft Azure AI Solution,Generate images with Azure OpenAI Service,GPT-35-Turbo,GPT-35-Turbo,,
Designing and Implementing a Microsoft Azure AI Solution,Generate images with Azure OpenAI Service,Text-Davinci,,,
Designing and Implementing a Microsoft Azure AI Solution,Use your own data with Azure OpenAI Service,Create their own AI chat models,,,
Designing and Implementing a Microsoft Azure AI Solution,Use your own data with Azure OpenAI Service,Access Azure OpenAI without an approved subscription,,,
Designing and Implementing a Microsoft Azure AI Solution,Use your own data with Azure OpenAI Service,Use supported AI chat models that can reference specific sources of data,,,
Designing and Implementing a Microsoft Azure AI Solution,Fundamentals of Responsible Generative AI,To make a legal case that indemnifies you from responsibility for harms caused by the solution.,To make a legal case that indemnifies you from responsibility for harms caused by the solution.,,
Designing and Implementing a Microsoft Azure AI Solution,Fundamentals of Responsible Generative AI,"To document the purpose, expected use, and potential harms for the solution.",,,
Designing and Implementing a Microsoft Azure AI Solution,Fundamentals of Responsible Generative AI,To evaluate the cost of cloud services required to implement your solution.,,,
